battery_pack,hybrid_inverter,status,controller_available,verification_type,verification_date,battery_part_number,battery_revision,inverter_firmware_min,bms_ev_firmware_min,hardware_revision,source,notes
BMW i3 (all sizes) (18/22/40 kWh),Growatt WIT 50-100K-HU (TL3-BH-UP) (5-10kW 3P),in_catalog,yes,protocol_verified,,BMW SME 61 62 8 632 xxx (60 Ah) / 61 62 8 632 xxx (94 Ah) / 61 62 8 787 xxx (120 Ah),2014-2022 (three generations),,15.0.14,HW3.1,openinverter.org/wiki/BMW_I3 + BMW SME LIN wake,
BMW i3 (all sizes) (18/22/40 kWh),Hoymiles HYT/HAT-HV,in_catalog,yes,protocol_verified,,BMW SME 61 62 8 632 xxx (60 Ah) / 61 62 8 632 xxx (94 Ah) / 61 62 8 787 xxx (120 Ah),2014-2022 (three generations),,15.0.14,HW3.1,openinverter.org/wiki/BMW_I3 + BMW SME LIN wake,
BMW i3 (all sizes) (18/22/40 kWh),Huawei SUN2000-(2-6)KTL-L1 (400V),in_catalog,yes,protocol_verified,,BMW SME 61 62 8 632 xxx (60 Ah) / 61 62 8 632 xxx (94 Ah) / 61 62 8 787 xxx (120 Ah),2014-2022 (three generations),,15.0.14,HW3.1,openinverter.org/wiki/BMW_I3 + BMW SME LIN wake,
BMW i3 (all sizes) (18/22/40 kWh),Huawei SUN2000-(3-20)K-MB0 (400V),in_catalog,yes,protocol_verified,,BMW SME 61 62 8 632 xxx (60 Ah) / 61 62 8 632 xxx (94 Ah) / 61 62 8 787 xxx (120 Ah),2014-2022 (three generations),,15.0.14,HW3.1,openinverter.org/wiki/BMW_I3 + BMW SME LIN wake,
BMW i3 (all sizes) (18/22/40 kWh),Kostal Plenticore Plus (3.0-10),in_catalog,yes,protocol_verified,,BMW SME 61 62 8 632 xxx (60 Ah) / 61 62 8 632 xxx (94 Ah) / 61 62 8 787 xxx (120 Ah),2014-2022 (three generations),,15.0.14,HW3.1,openinverter.org/wiki/BMW_I3 + BMW SME LIN wake,
BMW i3 (all sizes) (18/22/40 kWh),Maple Leaf Northern Fox H1-H3-AC1-KH,in_catalog,yes,protocol_verified,,BMW SME 61 62 8 632 xxx (60 Ah) / 61 62 8 632 xxx (94 Ah) / 61 62 8 787 xxx (120 Ah),2014-2022 (three generations),,15.0.14,HW3.1,openinverter.org/wiki/BMW_I3 + BMW SME LIN wake,
BMW i3 (all sizes) (18/22/40 kWh),SAJ H2 Hybrid (3-12)K-S2,in_catalog,yes,protocol_verified,,BMW SME 61 62 8 632 xxx (60 Ah) / 61 62 8 632 xxx (94 Ah) / 61 62 8 787 xxx (120 Ah),2014-2022 (three generations),,15.0.14,HW3.1,openinverter.org/wiki/BMW_I3 + BMW SME LIN wake,
BMW i3 (all sizes) (18/22/40 kWh),SMA Sunny Boy Smart Energy 3.6 / 4.0 / 5.0 / 6.0-50 Hybrid Inverter,in_catalog,yes,protocol_verified,,BMW SME 61 62 8 632 xxx (60 Ah) / 61 62 8 632 xxx (94 Ah) / 61 62 8 787 xxx (120 Ah),2014-2022 (three generations),,15.0.14,HW3.1,openinverter.org/wiki/BMW_I3 + BMW SME LIN wake,
BMW i3 (all sizes) (18/22/40 kWh),SMA Sunny Boy Smart Energy 3.6-6.0,in_catalog,yes,protocol_verified,,BMW SME 61 62 8 632 xxx (60 Ah) / 61 62 8 632 xxx (94 Ah) / 61 62 8 787 xxx (120 Ah),2014-2022 (three generations),,15.0.14,HW3.1,openinverter.org/wiki/BMW_I3 + BMW SME LIN wake,
BMW i3 (all sizes) (18/22/40 kWh),SMA Sunny Boy Storage 2.5,in_catalog,yes,protocol_verified,,BMW SME 61 62 8 632 xxx (60 Ah) / 61 62 8 632 xxx (94 Ah) / 61 62 8 787 xxx (120 Ah),2014-2022 (three generations),,15.0.14,HW3.1,openinverter.org/wiki/BMW_I3 + BMW SME LIN wake,
